( arctic_a0001 "Author of the danger trail, Philip Steels, etc." )
( arctic_a0002 "Not at this particular case, Tom, apologized Whittemore." )
( arctic_a0003 "For the twentieth time that evening the two men shook hands." )
( arctic_a0004 "Lord, but I'm glad to see you again, Phil." )
( arctic_a0005 "Will we ever forget it." )
( arctic_a0006 "God bless 'em, I hope I'll go on seeing them forever." )
( arctic_a0007 "And you always want to see it in the superlative degree." )
( arctic_a0008 "Gad, your letter came just in time." )
( arctic_a0009 "He turned sharply, and faced Gregson across the table." )
( arctic_a0010 "I'm playing a single hand in what looks like a losing game." )
( arctic_a0011 "If I ever needed a fighter in my life I will need one now." )
( arctic_a0012 "Gregson shoved back his chair and rose to his feet." )
( arctic_a0013 "He was a head shorter than his companion, of almost delicate physique." )
( arctic_a0014 "Now you're coming down to business, Phil, he exclaimed." )
( arctic_a0015 "It's the aurora borealis." )
( arctic_a0016 "There's Fort Churchill, a rifle-shot beyond the ridge, asleep." )
( arctic_a0017 "From the moment his friendship for Belize turns to hatred and jealousy." )
( arctic_a0018 "There was a change now." )
( arctic_a0019 "I followed the line of the proposed railroad, looking for chances." )
( arctic_a0020 "Clubs and balls and cities grew to be only memories." )
( arctic_a0021 "It fairly clubbed me into recognizing it." )
( arctic_a0022 "Hardly were our plans made public before we were met by powerful opposition." )
( arctic_a0023 "A combination of Canadian capital quickly organized and petitioned for the same privileges." )
( arctic_a0024 "It was my reports from the north which chiefly induced people to buy." )
( arctic_a0025 "I was about to do this when cooler judgment prevailed." )
( arctic_a0026 "It occurred to me that there would have to be an accounting." )
( arctic_a0027 "To my surprise he began to show actual enthusiasm in my favor." )
( arctic_a0028 "Robbery, bribery, fraud, " )
( arctic_a0029 "Their forces were already moving into the north country." )
( arctic_a0030 "I had faith in them." )
( arctic_a0031 "They were three hundred yards apart." )
( arctic_a0032 "Since then some mysterious force has been fighting us at every step." )
( arctic_a0033 "He unfolded a long typewritten letter, and handed it to Gregson." )
( arctic_a0034 "Men of Selden's stamp don't stop at women and children." )
( arctic_a0035 "He stopped, and Philip nodded at the horrified question in his eyes." )
( arctic_a0036 "She turned in at the hotel." )
( arctic_a0037 "I was the only one who remained sitting." )
( arctic_a0038 "We'll have to watch our chances." )
( arctic_a0039 "The ship should be in within a week or ten days." )
( arctic_a0040 "I suppose you wonder why she is coming up here." )
( arctic_a0041 "Meanwhile I'll go out to breathe a spell." )
( arctic_a0042 "How could he explain his possession of the sketch." )
( arctic_a0043 "It seemed nearer to him since he had seen and talked with Gregson." )
( arctic_a0044 "Her own betrayal of herself was like tonic to Philip." )
( arctic_a0045 "He moved away as quietly as he had come." )
( arctic_a0046 "The girl faced him, her eyes shining with sudden fear." )
( arctic_a0047 "Close beside him gleamed the white fangs of the wolf-dog." )
( arctic_a0048 "He looked at the handkerchief more, closely." )
( arctic_a0049 "Gregson was asleep when he re-entered the cabin." )
( arctic_a0050 "In spite of their absurdity the words affected Philip curiously." )
( arctic_a0051 "The lace was of a delicate ivory color, faintly tinted with yellow." )
( arctic_a0052 "It was a curious coincidence." )
( arctic_a0053 "Suddenly his fingers closed tightly over the handkerchief." )
( arctic_a0054 "There was nothing on the." )
( arctic_a0055 "Philip stood undecided, his ears strained to catch the slightest sound." )
( arctic_a0056 "Pearce's little eyes were fixed on him shrewdly." )
( arctic_a0057 "I have no idea, replied Philip." )
( arctic_a0058 "I came for information more out of curiosity than anything else." )
( arctic_a0059 "His appearance was gone." )
( arctic_a0060 "Anyways, no one saw her like that." )
( arctic_a0061 "Philip snatch at the letter which Gregson held out to him." )
( arctic_a0062 "The men star into each other face." )
( arctic_a0063 "Yes, it was a man who ask, a stranger." )
( arctic_a0064 "The fourth and fifth days passed without any development." )
( arctic_a0065 "They close now until his fingers were like cords of steel." )
( arctic_a0066 "He saw Jeanne falter for a moment." )
( arctic_a0067 "Surely I will excuse you, she cried." )
( arctic_a0068 "In a flash Philip followed it dictation." )
( arctic_a0069 "It was his intention to return to Eileen and her father." )
( arctic_a0070 "He would first hunt up Gregson and begin his work there." )
( arctic_a0071 "What was the object of your little sensation." )
( arctic_a0072 "But who was Eileen's double." )
( arctic_a0073 "The promoter's eyes were heavy, with little puffy bags under them." )
( arctic_a0074 "And now, down there, Eileen was waiting for him." )
( arctic_a0075 "There has been a change, she interrupted him." )
( arctic_a0076 "The gray eyes faltered; the flush deepened." )
( arctic_a0077 "It is the fire, partly, she said." )
( arctic_a0078 "Then, and at supper, he tried to fathom." )
( arctic_a0079 "It was a large canoe." )
( arctic_a0080 "What if Jeanne failed him." )
( arctic_a0081 "What if she did not come to the rock." )
( arctic_a0082 "His face was streaming with blood." )
( arctic_a0083 "A shadow was creeping over Pierre's eyes." )
( arctic_a0084 "Scarcely had he uttered the name when Pierre's closing eyes shot open." )
( arctic_a0085 "A trickle of fresh blood ran over his face." )
( arctic_a0086 "Death had come with terrible suddenness." )
( arctic_a0087 "Philip bent lower, and stared into the face of the dead man." )
( arctic_a0088 "He made sure that the magazine was loaded, and resumed his paddling." )
( arctic_a0089 "The nightglow was treacherous to shoot by." )
( arctic_a0090 "The singing voice approached rapidly." )
( arctic_a0091 "His blood grew hot with rage at the thought." )
( arctic_a0092 "He went down in midstream, searching the shadows of both shores." )
( arctic_a0093 "For a full minute he crouch and listened." )
( arctic_a0094 "He had barely entered this when he saw the glow of a fire." )
( arctic_a0095 "A big canvas tent was the first thing to come within his vision." )
( arctic_a0096 "Perhaps she had already met her fate a little deeper in the forest." )
( arctic_a0097 "Then you can arrange yourself comfortably among these robes in the bow." )
( arctic_a0098 "Shall I carry you." )
( arctic_a0099 "A maddening joy pounded in his brain." )
( arctic_a0100 "You must sleep, he urged." )
( arctic_b0181 "And you preferred a cannibal isle and a cartridge bell." )
( arctic_b0182 "I was in New York when the crash came." )
( arctic_b0183 "No, I did not fall among thieves." )
( arctic_b0184 "Such things in her brain were like so many oaths on her lips." )
( arctic_b0185 "Your being wrecked here has been a godsend to me." )
( arctic_b0186 "I can't go elsewhere, by your own account." )
( arctic_b0187 "Her achievements with cocoanut were a revelation." )
( arctic_b0188 "He glanced down at her holplessly, and moistened his lips." )
( arctic_b0189 "That is what distinguishes all of us with the lower animals." )
( arctic_b0190 "Idealism led him to philosophic anarchy, and his family threw him off." )
( arctic_b0191 "He also contended that better confidence was established by carrying no weapon." )
( arctic_b0192 "Outsiders are allowed five minute speeches, the sick man urged." )
( arctic_b0193 "So was Packard's finish suicide." )
( arctic_b0194 "Joan cried, with shining eyes." )
( arctic_b0195 "No one knows how the natives got them." )
( arctic_b0196 "How can you manage all alone, Mr Young." )
( arctic_b0197 "The planters are already considering the matter." )
( arctic_b0198 "I use great trouble advisedly." )
( arctic_b0199 "Dear Sir, Your second victim has fallen on schedule time." )
( arctic_b0200 "We leave the eventuality to time and law." )
( arctic_b0201 "I also understand that similar branch organizations have made their appearance in Europe." )
( arctic_b0202 "Society is shaken to its foundations." )
( arctic_b0203 "A month in Australia would finish me." )
( arctic_b0204 "Down through the perfume weighted air fluttered the snowy fluffs of the cottonwoods." )
( arctic_b0205 "You were destroying my life." )
( arctic_b0206 "Horses and rifles had been her toys, camp and trail her nursery." )
( arctic_b0207 "I'm as good as a man, she urged." )
( arctic_b0208 "You read the quotation in today's paper." )
( arctic_b0209 "He's terribly touchy about his black wards, as he calls them." )
( arctic_b0210 "Whatever he guessed he locked away in the taboo room of Naomi." )
( arctic_b0211 "This is eighteen eighty." )
( arctic_b0212 "Death is and has been ever since old Maui died." )
( arctic_b0213 "Some boy, she laughed acquiescence." )
( arctic_b0214 "Let us talk it over and find a way out." )
( arctic_b0215 "It is a good property, and worth more than that." )
( arctic_b0216 "I wish you were more adaptable, Joan retorted." )
( arctic_b0217 "Such is my passage engaged on the steamer." )
( arctic_b0218 "The issue was not in doubt." )
( arctic_b0219 "Well, there are better men in Hawaii, that's all." )
( arctic_b0220 "Harry Bancroft, Dave lied." )
( arctic_b0221 "It's a Yankee, Joan cried." )
( arctic_b0222 "He was the leader, and Tudor was his lieutenant." )
( arctic_b0223 "They likewise are disinclined to being eaten." )
( arctic_b0224 "But to culture the Revolution thus far had exhausted the Junta." )
( arctic_b0225 "The President of the United States was his friend." )
( arctic_b0226 "Your face was the personification of duplicity." )
( arctic_b0227 "Shorty turned to their employers." )
( arctic_b0228 "You were engaged." )
( arctic_b0229 "I saw it all myself, and it was splendid." )
( arctic_b0230 "Now run along, and tell them to hurry." )
( arctic_b0231 "What's that grub-thief got to do with it." )
( arctic_b0232 "It was a superb picture." )
( arctic_b0233 "So she said, the irate skipper dashed on." )
( arctic_b0234 "And watch out for wet feet, was his parting advice." )
( arctic_b0235 "Raoul yelled, in order to make himself heard." )
( arctic_b0236 "Oolong was two hundred and fifty mile from the nearest land." )
( arctic_b0237 "They just lay off in the bush and plugged away." )
( arctic_b0238 "The very thought of the effort to swim over was nauseating." )
( arctic_b0239 "And there was a dog that barked." )
( arctic_b0240 "There are four, all low, McCoy answered." )
( arctic_b0241 "The women they carried away with them to the Big Valley." )
( arctic_b0242 "The Japanese understood as we could never school ourselves or hope to understand." )
( arctic_b0243 "They had been on the same lay as ourselves." )
( arctic_b0244 "You are positively soulless, he said savagely." )
( arctic_b0245 "Harrison is still my chauffeur." )
( arctic_b0246 "The boy grew and prospered." )
( arctic_b0247 "He wanted to give the finish to this foe already so far gone." )
( arctic_b0248 "Exciting times are the lot of the patrol." )
( arctic_b0249 "I know they are my oysters." )
( arctic_b0250 "By this time Charley was as enraged as the Greek." )
( arctic_b0700 "The quick beige fox jumped in the air over the thin dog.." )
( arctic_b0701 "The beige hue on the waters of the loch impress all, including the French queen." )

( arctic_b0702 "Before she heard that symphony again, just as young Arthur wanted." )
( arctic_b0703 "The hungry purple dinosaur ate the kind, zingy fox." )
( arctic_b0704 "Look out, I shout, for he's foiled you again, creating chaos." )
